name,Pitch_neg_slope,Pitch_neg_intercept,Pitch_neg_chi_sq,Pitch_neg_reduced_chi_sq,Pitch_neg_slope_neg_error,Pitch_neg_slope_pos_error,Pitch_neg_intercept_neg_error,Pitch_neg_intercept_pos_error,Pitch_pos_slope,Pitch_pos_intercept,Pitch_pos_chi_sq,Pitch_pos_reduced_chi_sq,Pitch_pos_slope_neg_error,Pitch_pos_slope_pos_error,Pitch_pos_intercept_neg_error,Pitch_pos_intercept_pos_error,Yaw_neg_slope,Yaw_neg_intercept,Yaw_neg_chi_sq,Yaw_neg_reduced_chi_sq,Yaw_neg_slope_neg_error,Yaw_neg_slope_pos_error,Yaw_neg_intercept_neg_error,Yaw_neg_intercept_pos_error,Yaw_pos_slope,Yaw_pos_intercept,Yaw_pos_chi_sq,Yaw_pos_reduced_chi_sq,Yaw_pos_slope_neg_error,Yaw_pos_slope_pos_error,Yaw_pos_intercept_neg_error,Yaw_pos_intercept_pos_error,Roll_neg_slope,Roll_neg_intercept,Roll_neg_chi_sq,Roll_neg_reduced_chi_sq,Roll_neg_slope_neg_error,Roll_neg_slope_pos_error,Roll_neg_intercept_neg_error,Roll_neg_intercept_pos_error,Roll_pos_slope,Roll_pos_intercept,Roll_pos_chi_sq,Roll_pos_reduced_chi_sq,Roll_pos_slope_neg_error,Roll_pos_slope_pos_error,Roll_pos_intercept_neg_error,Roll_pos_intercept_pos_error
Aggregated,-429.03462794978,671.107757057714,13.4300611492903,1.91858016418432,53.6271441528629,36.4452594804812,9.54694175794123,9.5469524143773,595.549276803452,641.837191101544,3.5221454676427,0.503163638234671,50.2013738807353,50.2014303123784,9.37628392299541,9.37629411643718,-105.546624221264,643.279985767553,7.05322016672144,1.41064403334429,14.5257947700294,11.7594749323076,5.77321176148575,5.77322902413187,113.899088763829,652.653348364244,6.44564245528785,1.28912849105757,12.4831987298913,12.4831883244819,5.73057264306146,5.73057789560005,-74.3718476146311,629.938418267709,4.61321225008149,0.922642450016299,5.89031177841716,5.89030593691894,5.54777989653849,5.5477835440015,72.5714447512809,636.638815322355,7.44899367992331,1.48979873598466,5.74769893845972,5.74770276342677,5.89836082838292,5.89836388677907
Alex,-58.933318034118,453.028315267808,12.7273166296753,1.81818808995361,29.4665919260056,32.7392444209696,6.11773201287781,6.11773373346978,151.904803973782,420.151943074337,14.3010947880897,2.04301354115568,56.3920808285339,14.9581125086483,5.70672193821622,5.70672806058661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.9260132008002,466.355740565473,13.1029533687198,2.62059067374396,8.36915785868505,8.3691537196264,7.18980858318213,7.18981367957667,14.1403464328379,484.185588067135,5.4600903343543,1.09201806687086,6.10076062732399,6.1007393159599,7.54146138810296,7.54146242997984
Alice,6.94012610011929,978.301626082215,9.50356839067663,1.35765262723952,3.47000889716947,6.20536903674918e-05,39.9194451092294,39.9195139701452,174.663459531301,856.049167908038,12.6693590310783,1.80990843301118,87.3316884498542,171.544702054425,36.6980892911791,36.6980986456274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-65.2606155564239,648.574720530082,6.58480049885362,1.31696009977072,16.9555795652887,21.7603063937559,17.93930923876,17.9393186189425,102.316294165307,626.553315401649,5.38744756683798,1.0774895133676,23.1749151257201,23.1749337286066,17.6017563165732,17.6017561695272
Camille,-606.047845094637,634.025604381988,10.6660665204545,1.52372378863636,130.538737746985,71.9715885817687,12.9472442399943,12.9472500870982,586.318706669815,608.795248491507,3.73615611119739,0.533736587313913,100.048527290119,100.048734921426,12.0924698434976,12.0924572458435,-65.0986258069804,721.756442539435,8.39621410674346,1.67924282134869,32.5492735821076,31.6557608794272,18.9140109747584,18.914022864352,171.589458179367,673.205876477163,2.03970337181882,0.407940674363763,28.5364872239347,29.8441250604789,14.7749619734901,14.774971857157,-42.946469410839,592.127076488149,4.28605589803681,0.857211179607362,9.61669393021491,9.61667284892337,10.828301473125,10.8282947722086,51.9239044684372,615.074216039691,9.135693024715,1.827138604943,12.1407181369427,12.1407226980553,11.4544654089065,11.4544606488045
Elijah,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-145.348612901377,575.884519829494,2.60174948121412,0.520349896242825,31.1304666244407,48.4067075263661,11.0329402739542,11.0329486612104,56.8595893915229,593.720053846525,8.69605294055386,1.73921058811077,15.0967957780986,20.7201217692877,8.87676907822299,8.87677789590043,-50.3783285433298,568.766200184006,3.78267163511436,0.756534327022872,10.7100425486058,10.7100383576864,10.5875295842626,10.5875241635274,42.5412624496237,578.80993427481,5.04954834195615,1.00990966839123,10.7911542422375,10.7911695177558,11.9366538113364,11.9366571549571
Erica,-437.128771328102,565.108421465069,6.95732288108211,0.993903268726015,75.3001897683371,29.7616334380503,10.9823144102043,10.9823316731139,411.084788841112,551.118003076125,6.94280698233991,0.991829568905702,165.494896448992,25.7403081217175,11.8623549696222,11.8623635667966,-46.4734496888247,558.845458046855,5.33697776599877,1.06739555319975,20.7236747427805,20.7236642599194,8.0903147039636,8.09032032650771,140.379117620573,546.651912471423,3.79645557850629,0.759291115701257,34.9559400653918,24.8998377328931,11.5055250262523,11.5055330939756,-107.779480116084,617.836989186177,2.63149471276993,0.526298942553986,16.5852094778318,14.2589531835622,12.7918240632273,12.7918331590909,104.466182608375,609.735159025674,6.78212194195274,1.35642438839055,17.0057705462167,10.6379292847078,11.4483111161728,11.4483181008868
Felicia,-407.028677213241,628.309657192868,9.67305108727028,1.38186444103861,149.610266440428,34.1138648903107,17.6117576217963,17.6117673546446,1480.09284691524,473.423260451815,55.6786957532446,7.95409939332066,9.39002686664026e-05,9.9175246146101,14.1779408763083,14.1778686633266,-100.577356630215,574.889543142999,9.29987947385023,1.85997589477005,19.2805039517751,22.425636272476,8.44789609405052,8.44790525832605,128.821798155192,562.880735324984,1.26031737063181,0.252063474126361,16.0619115576778,16.0619127527056,6.68761477644273,6.68762321359156,-136.030828058669,553.575554121609,1.63792442024443,0.327584884048886,17.0905211414544,17.0905085163723,11.6419671354453,11.6419663777872,120.623860429395,561.266132114329,3.29555154877667,0.659110309755334,11.6575411247451,19.7070027644614,11.4639133479257,11.4639212584794
Gurleen,-619.27337978335,642.129697676408,4.52005804971919,0.645722578531313,58.7140584924462,233.800813085242,12.8263774638872,12.8263864240267,842.42829864623,632.383335184957,2.34384226890379,0.334834609843399,80.5391144320736,133.648922911303,19.9650748382229,19.9651302579967,-172.785900739706,736.800843105764,5.00456796168718,1.00091359233744,57.0126012964595,34.5276377789246,23.351865234225,23.3518753240621,156.363132892611,778.675159655451,9.73268133013847,1.94653626602769,37.6583469180256,47.6540833407475,23.7820299521311,23.7820700583202,-265.042311303286,614.529201746559,20.102999296231,4.02059985924621,6.72323031945552,165.804637238045,19.1304900822173,19.1304811537842,102.572667554946,704.596173345055,11.7404244461205,2.3480848892241,19.6291307946244,54.0728982105879,39.7570126473064,19.0668498664251
Kyle,-1128.51314054363,730.575871783965,40.744776934201,5.82068241917157,6.5694133127181e-05,56.2463155808694,5.85845672276264e-05,4.1377507884705,1362.9054915001,697.488577696725,25.6396686060677,3.66280980086682,66.1110595254179,817.710426997658,5.4421666845883e-05,5.39796908259939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-80.4461652302169,718.686152530935,13.663390044039,2.73267800880781,21.4501157301951,15.2235193846486,22.2949253526231,22.2948840226617,129.490658292408,685.51126847489,4.74827548652734,0.949655097305467,25.6694270428984,25.669438321864,24.3203562040551,24.3203653982183
Leonard,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-111.609643791292,632.655053473138,5.3192297705219,1.06384595410438,14.8643324223205,14.8642919145622,6.6819042053645,6.68190515742435,118.377642512787,636.181069710762,7.51252285594805,1.50250457118961,15.7708399232733,29.2450433207562,8.1300946691473,8.13010370750931,-78.0139169562507,581.603468089056,4.65766941709765,0.93153388341953,7.89849550360292,7.89849026356549,7.00069614625454,7.00069940529477,74.3677229935389,590.107364460524,3.24209260213323,0.648418520426645,7.79730553381374,7.79731323883263,7.60621401243782,7.60621487507331
